from_vertex_id;to_vertex_id;weights;geom
13393;13391;0.010436;LINESTRING(37.661847 55.751846,37.661856 55.751889,37.661895 55.751935)
8819;8817;0.014877;LINESTRING(37.575065 55.767424,37.574921 55.767447,37.574835 55.767460)
1477;1478;0.012099;LINESTRING(37.635653 55.768398,37.635482 55.768427,37.635467 55.768429)
12246;12248;0.026345;LINESTRING(37.580310 55.769841,37.580459 55.769826,37.580725 55.769799)
17628;17630;0.003848;LINESTRING(37.576136 55.772838,37.576167 55.772841,37.576195 55.772847)
13988;20463;0.040240;LINESTRING(37.677944 55.763290,37.677671 55.763320,37.677312 55.763358)
12503;12505;0.050139;LINESTRING(37.670763 55.744024,37.670826 55.743737,37.670861 55.743577)
595;597;0.029992;LINESTRING(37.664504 55.745857,37.664125 55.745746,37.664079 55.745732)
4546;11665;0.001976;LINESTRING(37.656002 55.749806,37.655993 55.749818,37.656000 55.749821)
5185;5186;0.044664;LINESTRING(37.587359 55.746702,37.587107 55.746634,37.586712 55.746533)
15411;15409;0.024889;LINESTRING(37.684194 55.771565,37.684476 55.771580,37.684590 55.771586)
1455;16506;0.035818;LINESTRING(37.642307 55.770559,37.642392 55.770599,37.642800 55.770477)
3821;3823;0.040643;LINESTRING(37.630333 55.733946,37.630724 55.734035,37.630936 55.734082)
4722;4723;0.001719;LINESTRING(37.652644 55.749424,37.652651 55.749432,37.652659 55.749437)
9282;9283;0.073920;LINESTRING(37.574821 55.757421,37.573956 55.757639,37.573739 55.757689)
23278;23280;0.054287;LINESTRING(37.598765 55.737945,37.599341 55.737666,37.599421 55.737625)
4350;4352;0.003805;LINESTRING(37.673662 55.756972,37.673648 55.756970,37.673602 55.756973)
7282;7283;0.028392;LINESTRING(37.601506 55.742894,37.601271 55.742996,37.601146 55.743050)
1459;1460;0.012693;LINESTRING(37.635529 55.769858,37.635420 55.769865,37.635327 55.769870)
18809;18811;0.029280;LINESTRING(37.578705 55.734086,37.578747 55.734050,37.578961 55.733866)
18799;18801;0.013300;LINESTRING(37.577932 55.734738,37.577969 55.734710,37.578052 55.734639)
199;200;0.032404;LINESTRING(37.636506 55.764460,37.636423 55.764486,37.636066 55.764613)
504;4368;0.019826;LINESTRING(37.671054 55.750814,37.671198 55.750934,37.671252 55.750919)
504;4384;0.076219;LINESTRING(37.671054 55.750814,37.671198 55.750934,37.671739 55.751381)
18157;18158;0.057033;LINESTRING(37.618744 55.729641,37.619105 55.729646,37.619654 55.729652)
4703;17776;0.021937;LINESTRING(37.655601 55.749209,37.655614 55.749121,37.655605 55.749012)
16261;20341;0.025556;LINESTRING(37.670312 55.747048,37.670419 55.747194,37.670491 55.747253)
20806;20796;0.009955;LINESTRING(37.648350 55.765086,37.648302 55.765137,37.648278 55.765166)
21411;21413;0.071828;LINESTRING(37.687975 55.773526,37.688314 55.773708,37.688806 55.773972)
18683;18684;0.009958;LINESTRING(37.623089 55.767074,37.623037 55.767081,37.622934 55.767095)
20476;20474;0.016616;LINESTRING(37.680358 55.754338,37.680493 55.754436,37.680521 55.754456)
8238;8240;0.018182;LINESTRING(37.687985 55.740533,37.687911 55.740584,37.687811 55.740664)
8661;8662;0.003026;LINESTRING(37.646558 55.760218,37.646544 55.760231,37.646532 55.760241)
8915;8917;0.063518;LINESTRING(37.673688 55.728445,37.673628 55.728406,37.672951 55.728052)
3931;25330;0.031438;LINESTRING(37.649583 55.738362,37.649683 55.738433,37.649894 55.738583)
19449;13677;0.034478;LINESTRING(37.568792 55.744353,37.568811 55.744450,37.568901 55.744656)
25625;25627;0.007138;LINESTRING(37.601015 55.754569,37.601006 55.754603,37.600991 55.754632)
18297;18298;0.032203;LINESTRING(37.658143 55.764735,37.658130 55.764730,37.657704 55.764584)
13860;13858;0.023320;LINESTRING(37.656762 55.734871,37.656629 55.734838,37.656421 55.734786)
13022;12106;0.008430;LINESTRING(37.660692 55.748673,37.660740 55.748707,37.660787 55.748689)
13022;13024;0.008970;LINESTRING(37.660692 55.748673,37.660740 55.748707,37.660779 55.748737)
8405;8403;0.059873;LINESTRING(37.685684 55.744835,37.685512 55.744634,37.685270 55.744350)
10312;10313;0.024888;LINESTRING(37.586853 55.762389,37.586757 55.762275,37.586690 55.762185)
16204;16206;0.029179;LINESTRING(37.577322 55.741605,37.577224 55.741394,37.577208 55.741351)
